east,north,au
625411,599275,70
625359,599294,13
625320,599329,76
625265,599351,14
625224,599384,21
625171,599413,16
625126,599430,8
625084,599457,8
625045,599486,29
624985,599522,3
624940,599539,9
624913,599567,0
624857,599589,0
624812,599615,3
625135,599661,19
625090,599682,9
625051,599712,5
624957,599781,19
626069,598650,15
626121,598620,2
626161,598581,444
626210,598558,7
626253,598540,7
626290,598518,12
626339,598484,7
626391,598462,5
626433,598438,0
626478,598411,0
626528,598371,5
626559,598352,0
626618,598320,0
626661,598292,0
626708,598280,0
626741,598242,0
626792,598220,2
626838,598193,0
626871,598159,0
626933,598135,0
626980,598111,0
627013,598082,0
627060,598056,1
626032,598661,49
625972,598690,159
625938,598725,55
625889,598741,29
625847,598767,0
625788,598807,15
625753,598834,37
625706,598853,21
625653,598886,63
625614,598905,28
625572,598941,62
625523,598959,23
625477,598985,94
625432,599011,15
625387,599038,22
625341,599064,41
625296,599091,64
625251,599117,6
625205,599143,13
625160,599170,18
625114,599196,9
625069,599223,8
625024,599249,13
624987,599275,1
624993,599302,8
624888,599328,8
624842,599355,8
624797,599381,0
624752,599407,2
624706,599434,3
624661,599460,1
621659,601206,63
621704,601187,94
621751,601143,177
621801,601128,73
621855,601091,228
621888,601065,427
621953,601041,79
621981,601012,367
622051,600990,52
622071,600969,13
622122,600938,21
622162,600916,0
622210,600884,2
622258,600859,1
622303,600833,3
622350,600806,0
622395,600784,0
622439,600753,2
622485,600727,7
622541,600708,0
622569,600668,3
622626,600647,3
622669,600623,5
622712,600593,4
622757,600569,3
622802,600542,2
622846,600516,0
622896,600485,0
622933,600468,0
622977,600442,0
623023,600421,0
623074,600383,0
623119,600357,0
623166,600331,0
622133,601920,71
622178,601870,0
622227,601848,0
622261,601810,9
622317,601795,12
622368,601763,30
622408,601743,0
622457,601711,0
622499,601690,3
622550,601671,0
622589,601637,0
622635,601611,0
622680,601584,2
622725,601558,0
622771,601532,0
622816,601505,0
622861,601479,0
622907,601452,5
622952,601426,0
622997,601400,0
623043,601373,0
623088,601347,2
623133,601320,0
623179,601294,0
623224,601268,0
623270,601241,0
623315,601215,3
623360,601189,0
623406,601162,5
623451,601136,3
623496,601109,7
623542,601083,6
623587,601057,2
623632,601030,0
623678,601004,2
623723,600977,5
623768,600951,2
623770,600929,0
625586,598436,73
625634,598420,69
625680,598378,238
625731,598363,58
625777,598348,2
625810,598306,3
625861,598282,40
625901,598253,0
625946,598226,0
625988,598207,0
626031,598179,0
626082,598147,0
626134,598136,0
626182,598091,0
626223,598072,0
626271,598050,0
626311,598021,0
626364,597985,0
626414,597968,0
626438,597931,0
626490,597910,0
626538,597881,0
626581,597857,0
626631,597840,0
626666,597807,0
626723,597769,0
626762,597751,1
626801,597720,0
626858,597691,0
626898,597672,0
626940,597641,0
626980,597619,0
627041,597599,0
627080,597567,0
627131,597551,0
627175,597522,0
627216,597488,0
627261,597461,0
627311,597440,0
627352,597408,0
625532,598468,671
625498,598495,237
625443,598519,174
625402,598543,15
625350,598575,25
625322,598598,15
625260,598627,21
625221,598649,21
625183,598680,22
625135,598700,98
625080,598720,50
625032,598750,8
624994,598781,19
624949,598807,46
624903,598833,89
624820,598883,109
624773,598918,23
624730,598943,30
