east,north,au
617103,612005,0
617012,612004,0
616908,611977,0
616814,611995,0
616711,611996,3
616586,611982,0
616511,612015,2
616424,612004,0
616312,612004,0
616213,612000,0
616104,611989,0
616018,612000,0
615912,611994,6
615817,611990,7
615713,612001,2
615616,612015,2
615501,612007,1
615417,612017,0
615323,612007,0
615215,612015,3
615110,612002,4
615007,612010,0
614902,612013,8
614799,612024,9
614716,611999,3
614606,611977,0
614503,612002,2
614421,612012,0
614289,612021,0
614215,611981,0
614121,611988,8
614013,611998,11
613923,612007,16
613814,611999,9
613723,612015,0
613620,612003,4
613513,611986,0
616241,613985,11
616289,613995,4
616337,613992,10
616388,613996,1
616428,613993,20
616486,613996,9
616543,613984,21
616598,613977,20
616642,613989,27
616690,613992,17
616741,613988,386
616796,613987,17
616850,613992,12
616209,613992,54
616163,613992,29
616122,613991,68
616071,613994,67
616008,614010,52
615963,613995,11
615908,613998,8
615858,613990,0
615820,613990,14
615763,613994,0
615709,613994,0
615615,614002,0
615516,614000,11
615411,614006,4
615310,614001,13
615207,613996,19
615112,614000,17
615009,614007,11
614922,614004,19
614598,613509,24
614698,613487,18
614798,613487,16
614905,613489,19
615001,613486,32
615096,613493,19
615192,613502,15
615291,613489,6
615391,613497,9
615491,613491,3
615602,613486,0
615638,613493,0
615686,613496,25
615741,613493,39
615783,613511,36
615845,613487,52
615904,613486,25
615939,613494,38
615988,613496,60
616026,613497,44
616086,613499,17
616136,613497,30
616185,613498,27
616240,613495,22
616286,613495,17
616341,613491,18
616386,613498,14
616436,613502,6
616490,613493,25
616540,613494,18
616587,613499,24
616691,613492,20
616790,613503,4
616887,613495,0
616995,613510,0
617105,613505,0
617193,613495,17
617288,613499,35
617391,613502,9
617490,613496,0
617604,613511,40
617697,613497,17
617794,613506,15
617887,613500,6
617985,613491,14
618089,613487,1
618185,613487,21
618280,613502,12
618394,613489,1
618488,613496,3
618587,613494,0
618689,613480,0
618788,613505,17
618906,613499,16
618997,613514,29
619087,613504,17
619202,613487,16
619308,613488,14
619393,613488,29
619493,613512,37
619592,613488,46
619693,613487,49
619798,613485,31
619897,618488,47
619986,613503,105
620096,613487,40
620188,613507,37
620287,613498,34
620390,613494,17
620488,613499,29
616303,613011,6
616186,612997,0
616145,613009,11
616104,612997,7
616056,612992,27
616001,612997,6
615942,613012,10
615899,613014,21
615854,612995,36
615814,613000,5
615757,613004,8
615703,613002,16
615658,612988,16
615605,612995,7
615561,613006,59
615513,612996,10
615464,613000,12
615412,613001,0
615354,613011,0
615307,612997,0
615252,612999,0
615214,613002,0
615164,612995,0
615103,612998,22
615005,613002,28
614911,613005,3
614810,612990,0
616892,613997,32
617003,614003,0
617094,614001,3
617194,614003,0
617300,614003,3
617409,614000,2
617494,614000,0
617598,613998,18
617701,613997,0
617798,614000,1
617905,614000,29
618000,614000,34
618099,614000,23
618193,613992,59
618303,614002,37
618399,614000,35
618505,614014,22
618599,614015,34
618705,614000,36
618790,613999,31
618895,613999,0
618993,613990,0
619086,614004,0
619197,614000,0
619293,614002,30
619387,613999,26
619492,614004,25
619598,614003,25
619710,614003,7
619789,614000,56
619910,614006,24
620000,613998,13
620100,614008,24
620188,614008,13
620295,614000,17
620391,614000,27
620498,614000,15
620600,614000,28
616403,612988,9
616488,612999,0
616585,612999,0
616688,612992,0
616793,613011,0
616913,613002,0
616988,612999,0
617102,613011,6
617190,612990,0
617288,613005,0
617388,612987,1
617503,612993,6
617591,612988,3
617696,612994,4
617790,613009,6
617890,612999,1
618000,613005,22
618087,613000,30
618205,613003,31
618290,613010,12
618390,613004,21
618489,613007,16
618587,612998,12
618687,612999,11
618786,612991,17
618890,613008,31
618991,612995,27
619088,612997,27
619198,613007,21
619287,613000,4
619391,612991,16
619494,612990,4
619592,612991,0
619689,613006,1
619795,612998,0
619891,613002,2
619992,613009,9
620091,613006,0
620189,612997,14
620294,613010,35
620398,612998,3
620497,613000,9
620597,612997,20
620698,612992,40
619697,612497,34
619801,612501,15
619901,612491,21
620002,612508,33
620109,612492,45
620202,612504,45
620304,612501,10
620400,612493,25
620498,612500,38
620600,612500,29
614710,612991,46
614612,612994,46
614509,612992,50
614413,612986,44
614317,613003,53
614208,612988,48
613794,612512,52
613883,612483,52
613981,612491,43
614090,612493,42
614191,612485,48
614287,612494,40
614386,612498,38
614486,612498,20
614604,612497,4
614691,612507,10
614791,612508,25
614837,612499,27
614886,612500,6
614936,612495,30
614986,612499,29
615039,612505,32
615090,612490,25
615141,612499,70
615187,612496,7
615242,612497,25
615298,612486,0
615351,612495,5
615393,612507,3
615389,612507,0
615486,612501,33
615536,612503,8
615589,612490,37
615645,612491,32
615688,612493,37
615739,612492,33
615793,612487,13
615891,612490,8
615987,612495,30
616086,612496,4
616187,612496,22
616297,612489,15
616388,612494,16
616487,612499,84
616587,612505,37
616686,612502,8
616789,612507,11
616897,612514,28
616988,612504,2
617086,612497,6
617187,612496,0
617287,612499,12
617387,612507,1
617488,612493,6
617595,612512,20
617688,612504,35
617785,612502,36
617886,612502,41
617985,612497,40
618087,612504,2
618188,612494,6
618287,612507,18
618398,612515,0
618490,612490,17
618586,612498,34
618696,612487,11
618793,612509,59
618887,612506,32
618986,612504,37
619086,612495,5
619187,612509,4
619287,612502,17
619388,612492,31
619491,612508,47
619598,612492,14
630506.6921,611573.1979,1
630531.6724,611562.9759,2
630554.4517,611554.3579,7
630583.6041,611542.0974,23
630606.7042,611532.346,32
630632.6099,611522.994,33
630657.2878,611512.2215,0
630682.4098,611500.6912,0
630708.5898,611491.6754,6
630731.7008,611480.8688,78
630756.7394,611470.7371,0
630783.417,611460.001,0
630809.6744,611449.2977,0
630836.0673,611438.5667,0
630860.7955,611426.2392,0
630885.0544,611414.4717,0
630910.3953,611402.1667,0
630936.102,611389.8279,0
630960.2547,611378.1857,0
630985.5843,611366.2789,6
631011.5896,611353.4486,4
631036.1832,611341.7673,0
631060.5258,611328.892,0
631082.4889,611318.4554,1
631105.6102,611307.9264,0
631127.8975,611296.861,1
631152.353,611284.7329,0
631179.264,611271.6497,0
631201.7803,611261.7515,0
631228.2137,611248.4355,11
631252.7904,611236.9558,8
631273.1665,611226.782,7
631300.7263,611214.4511,0
631323.5175,611202.97,0
631348.4791,611191.7205,0
631372.5941,611180.0449,2
631396.2201,611168.5428,0
631419.3292,611157.7912,2
631442.3607,611147.9167,0
631463.6714,611137.5978,1
631496.1036,611122.7656,3
631517.41,611112.9168,5
631538.5906,611103.9047,0
631563.4714,611091.9092,0
631591.8071,611079.5137,6
631623.0468,611065.4919,0
631647.6091,611054.5755,0
631675.9207,611041.6683,0
631699.8333,611030.929,0
631726.1167,611018.9832,0
631751.5732,611007.7985,0
631779.734,610995.5718,0
631808.221,610982.8088,0
631836.3448,610970.5608,0
631858.2932,610961.5897,1
631883.1384,610950.2836,0
631904.8611,610941.3252,3
631926.5838,610932.3667,0
630702.4603,611936.6972,0
630725.8876,611927.9075,0
630751.8861,611917.5318,0
630777.6278,611907.8085,0
630804.3932,611897.0245,2
630829.547,611888.9152,0
630856.0858,611876.0721,0
630886.3951,611864.1065,0
630901.7074,611859.2339,0
630926.1387,611849.0836,0
630950.1372,611839.7495,0
630975.1855,611829.9071,0
631000.253,611819.7704,0
631024.1528,611810.6106,0
631051.7694,611800.8591,0
631076.8987,611791.2653,0
631100.3481,611781.1281,0
631124.7204,611772.1157,0
631151.8816,611763.3387,0
631173.736,611754.3906,0
631197.711,611745.9447,0
631225.2836,611736.2038,0
631247.2171,611728.2044,0
631270.4509,611720.485,0
631294.9268,611711.5979,0
631316.2723,611702.7942,0
631338.7524,611696.1325,0
631360.5934,611688.7067,0
631381.1891,611681.5483,0
631401.6311,611674.0449,0
631421.1255,611667.203,7
631444.809,611658.9529,9
631465.3471,611651.4716,3
631490.0039,611642.4621,0
631513.5655,611634.3849,10
631538.9257,611624.9054,17
631563.9213,611615.8322,0
631587.6126,611607.4304,1
631612.3396,611597.5489,0
631637.3825,611588.2763,4
631660.5743,611578.7963,0
631685.8709,611569.3071,0
631709.9673,611559.8927,0
631736.1352,611549.7603,0
631762.1549,611539.43,8
631788.3308,611529.696,0
631816.7565,611518.5602,0
631838.5217,611509.7398,0
631863.1219,611499.9311,0
631886.3756,611490.2948,0
631911.2029,611480.1559,13
631935.6412,611470.8025,11
631959.8298,611460.3096,2
631985.1902,611450.5447,3
632007.9955,611440.8917,0
632030.9422,611431.0579,5
632056.5516,611421.1239,0
630747.1963,612033.9447,6
630770.1123,612025.3186,3
630794.6322,612016.4425,8
630818.226,612007.5221,16
630841.1649,611998.9765,2
630865.3963,611990.2912,14
630889.2767,611982.0446,6
630913.0196,611972.2956,3
630937.4599,611965.187,0
630959.1778,611955.9639,10
630980.4134,611948.0404,12
631009.3136,611937.0038,0
631031.0922,611929.7051,14
631053.3959,611921.8602,6
631075.7965,611913.9783,0
631102.1945,611906.1388,0
631127.145,611895.7621,3
631147.4182,611888.6274,3
631170.7862,611879.5246,0
631193.8375,611871.8056,5
631218.0387,611863.0188,0
631241.2023,611854.6516,0
631265.8324,611846.5196,0
631289.3015,611837.9054,0
631313.5162,611829.1837,0
631335.8903,611820.8026,0
631361.0496,611812.0264,0
631385.8416,611803.4347,0
631409.3338,611796.3587,0
631431.1911,611787.5309,2
631454.3387,611779.0334,0
631478.1429,611770.4543,0
631501.6813,611762.0228,0
631527.2611,611752.8461,0
631549.3886,611745.4357,0
631572.9707,611736.757,3
631595.9244,611728.8418,0
631619.2851,611720.5389,0
631643.135,611712.6972,4
631667.2576,611703.8678,5
631691.0561,611695.4056,0
631713.423,611687.6495,0
631736.9204,611679.4231,0
631759.0737,611672.1661,0
631779.0932,611664.9989,0
631800.7541,611657.7209,0
631821.0845,611650.6116,0
631841.633,611643.2997,0
631864.8497,611635.6016,0
631884.1031,611629.5244,0
631903.2737,611623.9335,0
631943.1721,611609.6406,0
631925.3793,611615.5716,0
631966.7124,611600.5418,0
631988.8864,611592.9978,0
632012.1749,611583.8744,0
632031.0241,611578.2378,0
632052.8328,611570.2766,0
630803.1365,612100.6031,0
630825.8047,612090.8039,0
630853.3131,612079.6385,0
630879.5598,612069.0254,0
630906.3119,612057.8627,0
630935.2444,612045.9659,0
630959.5436,612035.9148,0
630987.8075,612024.3515,0
631012.017,612014.089,0
631040.889,612002.4311,0
631069.2211,611991.67,0
631098.7384,611979.5712,0
631126.5732,611965.6619,0
631155.8001,611956.1902,0
631181.6659,611945.0122,0
631210.9348,611934.1274,0
631237.8077,611923.0517,3
631260.9261,611914.1038,2
631284.3204,611907.47,0
631313.7276,611897.9698,0
631333.9488,611890.5014,0
631357.4769,611883.0527,0
631382.4573,611874.7946,0
631406.0606,611867.2888,0
631429.1971,611859.3089,0
631451.7843,611851.4347,0
631476.1707,611843.0881,0
631505.6153,611833.8807,3
631527.4484,611826.5785,2
631553.999,611817.8715,0
631578.938,611809.4558,7
631605.7098,611800.3596,3
631630.1104,611792.3651,0
631654.6847,611783.9962,0
631681.7643,611775.4714,0
631705.7657,611767.9442,2
631728.9824,611759.8955,0
631752.483,611752.5108,0
631776.8501,611744.677,0
631801.9877,611736.7532,0
631824.9727,611729.2942,0
631850.3915,611721.2306,0
631874.3536,611713.4353,0
631899.2107,611705.4253,1
631924.4548,611697.9702,5
631951.2087,611689.5756,0
631975.1709,611681.8456,0
632000.2632,611674.075,0
632022.4815,611667.1833,0
632045.7902,611660.1014,0
632072.7555,611651.7252,0
632095.2822,611644.5488,0
632115.5652,611638.3898,0
632137.4108,611631.7068,0
632164.8054,611623.248,2
632188.5146,611616.3093,0
632211.2953,611609.2656,0
632234.7752,611601.9841,0
630874.2798,612286.2421,0
630895.7886,612277.1176,0
630919.6665,612266.2792,0
630942.9293,612257.0306,0
630965.8322,612247.4677,0
630989.1623,612237.9111,0
631008.9641,612229.8301,0
631035.0408,612219.5074,0
631057.7546,612210.4646,1
631081.7641,612201.2059,0
631105.0821,612192.3818,0
631128.2735,612183.1196,0
631151.1526,612173.8487,0
631175.5163,612164.993,18
631197.7622,612156.3574,0
631219.9333,612147.5476,0
631242.2777,612138.456,0
631265.959,612128.9071,0
631288.5597,612119.9198,0
631312.5716,612110.4581,2
631334.9717,612101.3498,1
631358.3106,612091.1867,0
631381.3917,612081.4746,0
631404.4092,612072.0234,0
631426.3751,612063.06,0
631445.8475,612054.4786,0
631474.6744,612043.1216,0
631496.0923,612034.916,0
631520.0429,612025.962,0
631543.8152,612016.934,0
631566.1555,612009.1681,0
631589.4007,611999.3987,0
631611.208,611990.7457,0
631636.255,611981.2884,1
631658.292,611972.3207,0
631682.2977,611962.8014,0
631707.4948,611953.0325,1
631730.1719,611944.3437,0
631752.627,611935.4863,0
631775.8496,611926.5157,2
631798.3465,611917.9614,0
631823.7709,611907.8993,10
631842.9971,611900.1485,2
631863.5063,611892.1095,4
631885.9304,611883.5649,0
631909.7899,611874.5659,0
631930.6563,611866.5134,1
631953.0505,611857.0541,3
631975.1005,611848.4687,0
631998.1458,611839.2443,0
632018.1974,611831.7424,0
632038.2489,611824.2405,4
632058.5557,611815.8582,0
632083.0362,611806.5775,5
632105.5891,611797.6501,15
632129.1656,611788.6575,0
632172.2095,611772.2474,0
632215.2535,611772.2474,3
630936.3264,612365.2691,19
630960.7856,612355.8585,8
630984.581,612345.9289,0
631009.5091,612335.9574,0
631031.8154,612326.89,0
631050.9106,612319.7317,0
631075.694,612309.4499,0
631101.0921,612299.5324,0
631122.271,612291.0409,0
631144.982,612281.8846,0
631168.7286,612272.8463,0
631191.8934,612263.6239,0
631213.921,612254.253,0
631232.8545,612246.7324,0
631257.5189,612238.1813,0
631285.0706,612226.9888,0
631306.1008,612217.7484,0
631328.7692,612208.913,0
631351.2432,612199.2691,0
631370.2895,612191.727,0
631392.3897,612182.4975,0
631416.9419,612173.2787,0
631440.0813,612163.8993,0
631463.2244,612153.9858,0
631486.7152,612145.1145,0
631509.6885,612135.7235,0
631532.7335,612126.8037,0
631555.9746,612118.0116,4
631579.3335,612109.2767,2
631602.8056,612100.2157,53
631626.7949,612091.1716,6
631649.6241,612082.7294,0
631674.3449,612073.9121,4
631696.3291,612065.0034,3
631719.6927,612056.5502,1
631744.0904,612048.5652,0
631768.3826,612038.5201,0
631791.8149,612029.7097,8
631814.523,612021.1908,1
631838.0426,612012.5458,0
631861.028,612004.1936,3
631883.1781,611996.0927,3
631905.3956,611988.0085,0
631928.9021,611979.332,0
631951.1363,611971.1523,1
631975.0221,611962.4463,0
631999.7878,611953.4274,0
632019.1798,611946.4235,4
632040.8344,611938.7328,0
632061.5996,611931.0295,3
632082.1424,611923.185,0
632106.7369,611914.6296,0
632130.072,611906.2712,0
632152.1571,611897.9133,0
632175.1475,611889.4277,0
632196.8344,611880.9614,0
632219.0672,611872.53,19
632240.6116,611863.8831,36
630976.5624,612446.61,0
630999.4608,612438.5151,4
631023.9102,612430.9238,0
631047.4678,612423.259,0
631071.139,612416.0503,100
631095.4025,612408.4723,1
631118.9261,612400.3134,30
631140.7097,612394.0201,0
631167.1658,612385.5777,10
631191.1566,612378.0864,0
631214.7114,612370.1954,18
631239.0782,612362.4802,0
631262.4782,612355.2921,7
631287.6116,612347.2757,0
631314.4798,612338.3278,8
631334.8609,612331.6882,0
631357.263,612325.0108,0
631380.9321,612317.5709,0
631404.779,612309.8705,0
631426.7395,612301.9078,0
631452.4782,612293.6314,0
631475.9052,612285.7201,0
631497.3824,612278.4747,3
631523.6872,612270.1595,0
631547.6701,612262.0557,0
631571.7185,612254.6946,0
631594.8922,612247.4812,0
631618.5321,612240.3576,0
631642.1994,612232.8274,0
631665.7669,612225.4653,0
631689.9433,612218.0792,0
631714.0588,612211.1307,0
631737.9186,612203.6153,0
631761.683,612196.3367,0
631785.5032,612189.2387,0
631809.8807,612181.7107,0
631834.0108,612174.7253,0
631857.4356,612167.5739,0
631884.6798,612159.8372,0
631913.4205,612150.8803,0
631937.9421,612143.5185,0
631964.2044,612135.4228,0
631989.2005,612127.5974,0
632011.2644,612121.1322,0
632035.6154,612113.547,0
632058.5276,612106.9918,0
632081.0812,612099.8735,0
632106.3273,612092.1277,0
632129.151,612086.6322,0
632154.8467,612077.8901,0
632176.8484,612070.8811,0
632199.1826,612063.6641,0
632222.6177,612057.141,0
632242.4757,612050.3521,0
632267.8557,612042.6707,0
632289.23,612036.6458,0
632312.5036,612029.5765,26
632334.2421,612021.9583,0
631032.0056,612536.9274,0
631056.1842,612527.8851,0
631081.2051,612518.5293,2
631103.5871,612510.1701,5
631125.1037,612502.301,0
631146.5113,612494.3657,4
631168.884,612486.3372,0
631190.9097,612477.8004,0
631213.026,612469.955,0
631236.9406,612461.4515,0
631260.5741,612453.311,0
631283.7576,612444.3562,0
631307.4896,612436.3334,0
631330.8262,612428.0689,0
631354.7163,612419.3516,0
631377.6653,612411.2845,3
631400.5542,612402.3941,0
631424.6733,612394.5452,0
631445.8781,612387.3526,0
631469.416,612379.8187,0
631490.4413,612372.0521,0
631512.777,612364.221,0
631534.3414,612357.2447,0
631557.7496,612349.0072,0
631577.3469,612342.6833,0
631600.2732,612334.053,0
631622.4228,612326.8431,0
631644.0005,612319.4032,0
631665.2652,612312.5876,0
631685.0322,612305.8664,0
631703.6635,612298.7896,0
631723.2709,612293.5653,0
631743.2097,612286.5765,21
631761.6526,612280.7162,0
631780.8875,612274.4086,0
631803.2941,612267.4887,0
631824.4926,612260.1302,0
631847.3295,612252.6706,0
631868.3828,612246.0292,1
631891.2094,612238.4351,3
631913.7174,612231.4523,0
631936.2254,612231.4523,0
631959.9678,612216.8088,0
631981.2251,612209.652,0
632005.3026,612202.2385,5
632028.8564,612194.9387,5
632051.1383,612187.8921,0
632075.6536,612179.8233,2
632099.0398,612172.258,0
632123.6158,612163.9637,2
632146.1784,612156.8712,2
632169.7628,612149.4744,2
632192.1453,612142.3415,0
632217.4185,612133.8251,0
632239.0922,612127.7299,4
632262.8853,612122.8469,2
632288.3183,612111.8423,2
632313.6151,612104.0227,0
631391.6282,613220.7561,10
631413.8669,613210.9246,5
631436.9221,613200.1561,2
631459.898,613189.4841,6
631482.9672,613180.4569,5
631507.8184,613170.5198,0
631528.4688,613161.2798,4
631551.9688,613151.2571,8
631574.8592,613141.0163,5
631598.0372,613132.0532,3
631620.8061,613123.3154,1
631643.7469,613113.204,5
617807.9763,586495.8941,4
631687.092,613093.1938,3
631713.0495,613083.5363,6
631736.4555,613073.7271,4
631759.0435,613064.6225,4
631781.4604,613054.7174,73
631806.0039,613044.6699,3
631827.8017,613035.6588,4
631848.5621,613027.0673,1
631869.8064,613020.4551,3
631892.1623,613010.2119,5
631911.416,613001.4919,2
631933.0326,612993.7781,3
631952.8188,612986.9985,0
631975.7047,612976.6518,0
631996.2592,612967.3749,0
632017.433,612960.3327,0
632039.4533,612950.9261,0
632060.0576,612942.47,2
632078.8902,612934.7968,2
632100.5364,612926.867,4
632121.3128,612917.8387,5
632140.1365,612910.4926,6
632161.2729,612901.8677,52
632183.5735,612893.588,4
632203.1013,612885.7343,0
632223.4154,612877.6627,27
632249.8007,612866.6899,44
632272.2722,612857.8421,6
632341.9517,612830.6671,3
632294.7512,612849.2688,23
632319.3814,612839.5912,2
632362.8804,612822.1649,7
632384.2164,612813.8127,7
632410.3869,612803.4016,1
632434.7137,612793.8277,4
632460.047,612783.803,26
632484.5488,612773.9159,3
632509.7968,612764.2772,0
632537.6614,612753.5058,0
632562.2333,612744.5564,0
632583.7278,612735.9975,2
632611.2556,612725.5278,0
632636.6264,612716.4194,0
632660.1868,612706.7226,5
631106.5799,612706.204,0
631129.9861,612697.034,0
631152.3744,612688.4877,0
631176.9447,612678.8186,0
631200.6783,612669.7747,0
631224.9002,612660.729,0
631246.9947,612652.1643,0
631268.6278,612643.7373,0
631295.7878,612632.4986,0
631319.9909,612623.3409,0
631343.2489,612614.8626,0
631365.5926,612605.4578,0
631392.1339,612595.5358,0
631413.4876,612587.1742,0
631440.5725,612576.6984,0
631465.5095,612567.1056,0
631489.341,612557.8167,0
631513.1194,612548.8396,1
631536.4245,612539.6333,0
631559.9827,612530.3199,0
631583.1619,612521.7574,0
631606.3632,612513.2286,0
631629.6593,612504.0246,0
631652.2666,612495.7668,0
631676.2595,612486.4525,0
631695.8262,612479.2167,0
631720.1252,612472.4883,0
631741.3972,612462.1061,0
631763.5867,612454.5247,0
631809.9638,612436.3855,0
631832.5647,612427.8728,0
631855.4089,612419.3383,2
631877.8309,612411.045,0
631900.6384,612403.347,3
631922.2169,612394.4084,0
631944.2188,612386.8412,0
631966.9152,612378.5077,0
631989.2551,612371.3407,9
632013.0376,612362.1179,9
632035.414,612353.9104,10
632057.6381,612345.17,13
632080.9426,612337.2616,17
632102.3871,612329.5834,21
632127.4738,612321.04,8
632149.2509,612312.6125,11
632171.8334,612304.5604,2
632195.0116,612295.8293,3
632216.3403,612288.1234,7
632236.8517,612279.9154,6
632260.2363,612272.5289,5
632283.761,612263.8374,2
632305.6572,612256.2102,8
632327.141,612247.8215,8
632348.6385,612239.773,7
632370.9737,612232.3976,14
632394.2219,612223.5692,13
632417.3536,612216.0023,5
632442.4339,612207.425,3
631152.5078,612784.0238,4
631172.9756,612776.0762,1
631194.7511,612767.6912,2
631217.7349,612758.9441,0
631239.2039,612751.0119,4
631259.7265,612742.86,37
631278.97,612735.6424,40
631300.8414,612728.7318,1
631321.3107,612720.6291,4
631341.1708,612712.9394,2
631360.7043,612703.9902,2
631382.7305,612695.4588,0
631401.1149,612688.9728,1
631420.8682,612682.0761,0
631440.6577,612673.2179,8
631461.3658,612664.8161,2
631482.5755,612656.9726,14
631504.3746,612649.9643,0
631526.226,612640.8374,6
631547.3898,612632.9536,5
631568.995,612624.8715,0
631591.015,612616.7199,0
631611.8138,612608.9101,5
631631.2288,612601.5931,3
631649.6371,612594.6076,2
631668.9268,612587.312,3
631685.0148,612581.3116,11
631706.9052,612572.4845,5
631728.9638,612564.7537,3
631752.4875,612556.491,13
631777.3453,612548.307,10
631797.7426,612539.802,3
631820.6986,612532.0537,0
631843.913,612523.6128,0
631865.9005,612515.4725,0
631887.2438,612508.2991,0
631910.2344,612500.3377,0
631934.6966,612491.6799,5
631955.6927,612484.2058,6
631977.5586,612476.4423,0
631998.8351,612469.2879,0
632022.2583,612460.4969,0
632047.9925,612451.0515,1
632076.3762,612441.7077,2
632103.1968,612432.1205,9
632131.6402,612422.0602,4
632156.8021,612413.33,6
632182.9255,612403.5646,6
632208.7175,612395.1568,11
632236.9285,612384.8015,5
632262.8097,612375.3224,8
632289.7357,612366.1628,20
632316.8491,612356.7072,11
632341.9167,612347.9843,8
632367.5377,612337.856,128
632399.5356,612328.1522,0
632429.0221,612316.7628,3
632455.2751,612306.7484,7
631214.0742,612872.3103,6
631235.7772,612863.8706,9
631253.9626,612856.9831,0
631276.9011,612848.4671,6
631296.155,612840.1653,0
631318.7934,612832.279,3
631342.0352,612822.7087,0
631361.4364,612814.3651,3
631383.0503,612806.4059,0
631400.9465,612800.0389,0
631421.8755,612792.7497,0
631442.0777,612784.1039,0
631462.9863,612776.4444,0
631485.828,612766.8355,0
631507.6517,612758.8741,0
631528.0952,612750.8152,3
631549.8934,612742.5278,0
631571.3404,612733.7264,0
631594.2624,612725.7004,0
631624.0367,612714.106,8
631646.0677,612705.1831,3
631672.4647,612694.9776,0
631695.6463,612686.2313,0
631719.2387,612677.1741,0
631743.0892,612668.6905,0
631766.7225,612658.8047,4
631789.8541,612650.4689,0
631812.9748,612641.3675,3
631838.9124,612631.4836,0
631859.67,612622.9668,2
631884.7764,612613.3918,0
631907.2712,612604.8249,0
631930.8268,612595.9763,0
631954.0562,612587.3325,0
631977.2855,612587.3325,1
632002.0682,612569.6159,2
632024.4871,612561.2408,5
632047.9561,612552.4553,8
632071.5265,612543.3949,2
632097.5695,612534.0119,0
632118.7181,612525.7741,0
632142.3242,612517.0874,9
632165.8713,612508.242,4
632192.8893,612498.0164,1
632213.8936,612490.3566,0
632239.3148,612481.1306,15
632260.9947,612472.456,0
632284.8286,612464.7804,0
632308.5168,612454.8311,6
632335.8605,612445.6704,0
632356.0815,612437.6519,8
632379.067,612428.5917,0
632403.7241,612419.9011,0
632428.4902,612410.0082,9
632453.9365,612401.0296,0
632476.6012,612392.4555,0
632497.309,612384.4776,0
632521.0553,612376.1813,0
631254.6393,612951.2633,2
631279.8195,612940.741,0
631302.771,612931.3603,0
631330.947,612919.8923,0
631352.3329,612910.443,0
631377.9873,612899.9545,0
631401.8226,612889.5949,0
631427.409,612878.6187,1
631452.0567,612869.2497,2
631476.7704,612859.2433,2
631504.3416,612847.6551,0
631531.5844,612836.7442,20
631556.1488,612826.5224,0
631581.0064,612816.1016,0
631608.1524,612804.7947,7
631633.4483,612795.3802,0
631661.9744,612784.0648,0
631687.2327,612771.1726,0
631711.4703,612763.2416,3
631737.3255,612754.6803,0
631763.1953,612744.614,6
631785.6002,612735.9914,9
631810.275,612726.5272,17
631839.0858,612714.9294,0
631888.362,612695.9423,0
631864.0981,612705.533,0
631914.2476,612686.2681,0
631938.7565,612676.7539,3
631965.5253,612667.7427,0
631987.524,612658.1929,10
632013.4037,612650.0855,0
632038.0097,612640.3787,0
632061.5416,612632.264,0
632085.2525,612623.2092,0
632110.1576,612614.4189,11
632131.57,612606.6334,2
632155.8686,612598.285,0
632179.0234,612589.4027,0
632202.1744,612581.2969,0
632221.4585,612574.0989,6
632246.15,612566.2709,0
632267.4245,612558.4005,0
632291.8651,612550.2511,16
632313.8204,612542.1592,0
632336.8322,612533.9399,4
632359.5014,612526.0782,21
632384.5299,612517.8842,0
632407.8989,612508.162,0
632432.7513,612500.6561,0
632454.6884,612493.2265,2
632477.7302,612485.173,130
632502.2772,612476.8555,13
632526.9515,612468.8302,5
632549.9146,612461.2901,13
632574.3591,612452.9944,7
632598.5233,612444.927,9
632622.0998,612438.0799,9
632654.6396,612427.3903,11
631337.0185,613125.9255,16
631358.6478,613116.8917,0
631381.6407,613107.2548,0
631405.8361,613096.9264,0
631430.9321,613086.5348,0
631455.6616,613075.6125,0
631481.2386,613064.064,0
631507.1439,613054.198,8
631535.6024,613043.0689,0
631561.1108,613031.3734,8
631586.6407,613021.5293,8
631610.3774,613012.3225,11
631633.6982,613002.2285,8
631655.4776,612993.9982,7
631680.1285,612983.8429,6
631703.7459,612974.2665,7
631725.5375,612965.3409,9
631749.2688,612955.5653,4
631773.7248,612945.551,3
631796.026,612936.5235,0
631819.5969,612927.0028,8
631841.2489,612917.8546,0
631865.162,612908.203,0
631890.735,612897.6318,3
631914.9619,612887.8879,3
631938.084,612879.062,7
631964.4313,612868.0876,0
631988.3515,612858.1832,5
632011.5632,612849.1788,0
632035.6487,612839.1285,2
632059.2576,612829.5294,0
632080.1001,612820.5152,3
632102.6905,612811.6923,2
632120.6671,612803.7501,5
632144.2633,612794.055,0
632165.9972,612785.8912,6
632185.5194,612777.0177,6
632206.3264,612767.8315,0
632228.5825,612758.8106,3
632250.2629,612749.3207,0
632273.1746,612739.4781,0
632296.5996,612729.924,0
632320.24,612720.251,0
632344.0119,612709.9277,0
632368.0582,612699.7829,0
632390.8183,612690.4003,11
632413.1045,612680.6839,6
632436.3348,612671.0373,8
632458.6211,612661.7042,7
632480.5262,612652.8774,3
632501.9155,612644.2335,6
632525.5303,612634.3122,6
632549.7588,612624.634,16
632572.4821,612615.5705,6
632595.035,612606.0782,12
632617.4861,612597.3234,2
632638.633,612587.6512,0
632663.0852,612580.0696,0
623626.4983,603875.2511,2
623649.1424,603864.6567,0
623671.7866,603854.0622,0
623694.4307,603843.4677,2
623717.0749,603832.8733,0
623739.719,603822.2788,4
623762.3632,603811.6844,3
623785.0073,603801.0899,0
623807.6514,603790.4954,2
623830.2956,603779.901,5
623852.9397,603769.3065,9
